기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
1997	서대문구	125,092	358,995	178,743	180,252	354,084	176,171	177,913	4,911	2,572	2,339	20,397	17.6	2.87	19,609
1997	마포구	140,517	391,116	194,495	196,621	388,736	193,239	195,497	2,380	1,256	1,124	16,385	23.87	2.78	21,263
1997	양천구	153,792	485,914	245,073	240,841	484,538	244,360	240,178	1,376	713	663	27,926	17.4	3.16	20,381
1997	강서구	169,412	519,554	259,169	260,385	518,067	258,356	259,711	1,487	813	674	12,550	41.4	3.07	23,383
1997	구로구	126,507	377,660	193,475	184,185	376,436	192,877	183,559	1,224	598	626	18,780	20.11	2.99	14,943
1997	금천구	93,448	272,740	139,616	133,124	270,764	138,710	132,054	1,976	906	1,070	20,964	13.01	2.92	10,082
1997	영등포구	142,076	406,841	206,366	200,475	404,017	204,710	199,307	2,824	1,656	1,168	16,558	24.57	2.86	18,460
1997	동작구	147,954	432,300	218,004	214,296	430,950	217,308	213,642	1,350	696	654	26,440	16.35	2.92	20,731
1997	관악구	182,821	534,620	271,830	262,790	533,577	271,337	262,240	1,043	493	550	18,086	29.56	2.92	21,748
1997	서초구	137,679	407,122	201,900	205,222	403,506	199,983	203,523	3,616	1,917	1,699	8,638	47.13	2.96	18,397
1997	강남구	190,255	555,355	274,650	280,705	550,803	272,129	278,674	4,552	2,521	2,031	14,042	39.55	2.92	25,012
1997	송파구	222,544	677,214	337,369	339,845	674,577	336,001	338,576	2,637	1,368	1,269	19,983	33.89	3.04	28,128
1997	강동구	159,774	493,910	249,324	244,586	492,850	248,852	243,998	1,060	472	588	20,094	24.58	3.09	21,013
1998	합계	3,458,511	10,321,496	5,173,556	5,147,940	10,270,506	5,146,825	5,123,681	50,990	26,731	24,259	17,046	605.52	2.98	505,438
1998	종로구	69,668	190,619	95,645	94,974	188,732	94,646	94,086	1,887	999	888	7,972	23.91	2.74	13,464
1998	중구	46,072	125,050	63,028	62,022	122,500	61,557	60,943	2,550	1,471	1,079	12,543	9.97	2.71	9,101
1998	용산구	88,418	246,613	122,746	123,867	239,282	118,709	120,573	7,331	4,037	3,294	11,276	21.87	2.79	16,584
1998	성동구	110,157	323,230	163,630	159,600	321,945	162,866	159,079	1,285	764	521	19,194	16.84	2.93	16,448
1998	광진구	136,557	397,325	200,123	197,202	395,921	199,432	196,489	1,404	691	713	23,304	17.05	2.91	16,738
1998	동대문구	132,854	378,953	192,035	186,918	377,724	191,437	186,287	1,229	598	631	26,668	14.21	2.85	20,882
1998	중랑구	152,846	467,538	234,830	232,708	467,001	234,583	232,418	537	247	290	25,259	18.51	3.06	20,344
1998	성북구	162,931	481,101	242,069	239,032	478,830	240,933	237,897	2,271	1,136	1,135	19,597	24.55	2.95	27,185
1998	강북구	117,701	361,424	180,463	180,961	360,814	180,184	180,630	610	279	331	15,308	23.61	3.07	18,185
1998	도봉구	119,744	381,602	191,276	190,326	380,844	190,969	189,875	758	307	451	18,329	20.82	3.19	18,005
1998	노원구	186,639	595,891	295,026	300,865	594,851	294,485	300,366	1,040	541	499	16,809	35.45	3.19	30,227
1998	은평구	159,865	480,974	238,713	242,261	479,841	238,157	241,684	1,133	556	577	16,184	29.72	3.01	24,667
1998	서대문구	126,787	366,726	182,269	184,457	361,733	179,690	182,043	4,993	2,579	2,414	20,837	17.6	2.89	20,905
1998	마포구	137,955	386,880	192,069	194,811	384,550	190,861	193,689	2,330	1,208	1,122	16,208	23.87	2.8	22,080
1998	양천구	152,339	484,907	244,244	240,663	483,674	243,631	240,043	1,233	613	620	27,852	17.41	3.18	21,131
1998	강서구	168,867	517,881	257,979	259,902	516,590	257,304	259,286	1,291	675	616	12,512	41.39	3.07	24,492
1998	구로구	127,187	381,794	195,131	186,663	380,623	194,526	186,097	1,171	605	566	18,985	20.11	3	15,797
1998	금천구	91,842	273,712	140,008	133,704	272,276	139,298	132,978	1,436	710	726	21,055	13	2.98	10,779
1998	영등포구	139,414	406,019	205,372	200,647	403,380	203,862	199,518	2,639	1,510	1,129	16,532	24.56	2.91	19,464
